Tech Stack,Project Link,Project Title,Description
"Python, YOLOv8, FastAPI, OpenCV, SORT, Optical Flow, Streamlit",https://github.com/Tayyabah-Rehman/Vehicle-Counting-System,AI Vehicle Counting & Traffic Analysis System,"Production-grade multi-road traffic analysis system using YOLOv8 + SORT tracking. Detects vehicle direction per lane using optical flow and PCA. Classifies Cars, Motorcycles, Buses and Trucks per road. Full web interface: upload video, get bounding-box processed video download + per-lane traffic report."
"Python, YOLOv8, PaddleOCR, RealESRGAN, FastAPI, Streamlit, OpenCV",https://github.com/Tayyabah-Rehman/License-Plate-Recognition-PaddleOCR,License Plate Recognition with PaddleOCR & RealESRGAN,"End-to-end ALPR pipeline: YOLOv8 detects plates, RealESRGAN super-resolution enhances blurry crops, PaddleOCR reads text. Includes web interface for image upload and OCR output display."
"Python, YOLOv8, EasyOCR, PaddleOCR, TrOCR, HAT, DarkIR, RealESRGAN, X-Restormer",https://github.com/Tayyabah-Rehman/ALPR-Thesis,MPhil Thesis: Automatic License Plate Recognition (ALPR),"Research-grade ALPR system achieving 95.11% OCR accuracy (PSNR 30.40 dB, SSIM 0.8922). Pipeline: YOLOv8 detection → DarkIR for night image brightening (threshold=100) → HAT super-resolution upscaling → RealESRGAN for blur removal → ensemble of EasyOCR, PaddleOCR, TrOCR with post-processing."
"Python, LangChain, Groq, ChromaDB, Streamlit, NLP",https://github.com/Tayyabah-Rehman/AI-Resume-Analyzer,AI Resume Analyzer,"LLM-powered resume analysis tool. Extracts skills, scores resume against job descriptions, gives structured improvement feedback. Uses LangChain + Groq for NLP and Streamlit for UI."
"Python, LangChain, ChromaDB, Streamlit, Groq, LLaMA",https://github.com/Tayyabah-Rehman/Cold-Email-Generator,AI Cold Email Generator,"AI-powered personalized cold email generator. Extracts job requirements from any JD, queries ChromaDB for portfolio matches, generates tailored emails via LangChain + Groq LLM."
"Python, OpenCV, Deep Learning, face_recognition",https://github.com/Tayyabah-Rehman/Face-Recognition-Attendance,Face Recognition Attendance System,"Automated attendance system using face detection and recognition with real-time tracking and CSV export."
"Python, TensorFlow, Keras, CNN",https://github.com/Tayyabah-Rehman/Fire-Smoke-Detection,Fire and Smoke Detection,"CNN-based fire and smoke detection in surveillance footage with high precision classification."
"Python, LSTM, NLP, Deep Learning, CNN",https://github.com/Tayyabah-Rehman/Video-Caption-Generation,Video Caption Generation,"Automatic video captioning using LSTM sequence models with CNN visual feature extraction."
"Python, ResNet-50, LSTM, Flickr8k, NLP",https://github.com/Tayyabah-Rehman/Image-Captioning,Image Captioning (ResNet-50 + LSTM),"Image captioning pipeline on Flickr8k combining ResNet-50 CNN features with LSTM language model."
"Python, OpenCV, Optical Flow, Scikit-learn",https://github.com/Tayyabah-Rehman/Optical-Flow-Motion-Segmentation,Optical Flow and Motion Segmentation,"Dense optical flow for foreground/background motion segmentation in video streams."
"Python, TensorFlow, HAR, Sensor Data, Deep Learning",https://github.com/Tayyabah-Rehman/Human-Activity-Recognition,Human Activity Recognition (CogAge),"Sensor-based HAR system on CogAge dataset using deep learning for activity classification."
"Python, Scikit-learn, XGBoost, Feature Engineering, RFE",https://github.com/Tayyabah-Rehman/Feature-Optimization-RFE,Feature Optimization with RFE,"Recursive Feature Elimination pipeline on Titanic dataset with model performance benchmarking."
"Python, CNN, PyTorch, Sign Language, Classification",https://github.com/Tayyabah-Rehman/Sign-Language-Classification,Sign Language Digit Classification,"CNN classifier for sign language digit recognition with high validation accuracy."
"Python, Mask R-CNN, COCO, Instance Segmentation",https://github.com/Tayyabah-Rehman/Tower-Segmentation,Transmission Tower Segmentation,"Instance segmentation of transmission tower components using Mask R-CNN on custom COCO-format dataset."
